root  (LB_TAX_1.0)
  Health  (2)
    General Health  (2-0)
    Antenatal care  (2-5)
    Skilled Attendant Delivery  (2-6)
    Breastfeeding  (2-19)
    Nutrition  (2-9)
    Family planning  (2-8)
    LLINs and Malaria  (2-2)
    ORS and zinc  (2-10)
    HIV/Aids  (2-1)
    Handwashing  (2-7)
    Tuberculosis  (2-3)
    Birth Registration  (2-11)
    Vaccinations  (2-12)
    Other infectious diseases  (2-4)
    Open Defecation  (2-14)
    Ebola  (2-15)
    Cholera  (2-16)
    Health Category Intros  (2-17)
  Education  (3)
    General Education  (3-0)
    Adult Literacy  (3-1)
    School Lessons  (3-2)
    Kindergarten Enrollment  (3-10)
  Society and Culture  (10)
    General Society and Culture  (10-0)
    Early Marriage (old cat)  (12-13)
    Early Marriage  (10-3)
    Gender  (10-2)
    Social Issues  (10-1)
    Corporal Punishment  (10-4)
    Child Protection  (10-5)
  Agriculture  (1)
    General Agriculture  (1-0)
    Crops  (1-1)
      General Crops  (1-1-0)
      Maize  (1-1-1)
      Millet  (1-1-2)
      Cowpeas  (1-1-3)
      Groundnuts  (1-1-4)
      Rice  (1-1-5)
      Soybeans  (1-1-6)
      Cotton  (1-1-7)
    Agric Process  (1-3)
      General Agric Process  (1-3-0)
      Preparing land for the growing season  (1-3-1)
      Bush burning  (1-3-6)
      Planting / Sowing  (1-3-2)
      Maintaining crops (e.g. weeding)  (1-3-3)
      Harvesting  (1-3-4)
      Storing  (1-3-5)
    Agric Business  (1-4)
      General Agric Business  (1-4-0)
      Marketing  (1-4-1)
      Selling  (1-4-2)
    Fish  (1-5)
    Sustainable Agriculture  (1-6)
    Income from natural resources  (1-10)
    Food and nutritional security  (1-11)
    Natural resources access and control  (1-12)
    Environmental stewardship  (1-13)
  Livestock  (1-2)
    General Livestock  (1-2-0)
    Vaccinating  (1-2-6)
    Housing livestock  (1-2-7)
    Chickens/Fowl  (1-2-1)
    Sheep  (1-2-2)
    Goats  (1-2-3)
    Cows  (1-2-4)
    Donkeys  (1-2-5)
  Stories  (4)
    General Stories  (4-0)
    Oral stories  (4-1)
    Spoken books  (4-2)
  Business  (5)
    General Business  (5-0)
    Accounting  (5-1)
    Marketing  (5-2)
    Entrepreneurship  (5-3)
    Financial Services  (5-4)
    Value Chain  (5-5)
  Environment  (11)
  Governance  (6)
  Music  (7)
  Response to Feedback  (0-7)
  Feedback from Users  (9)
    Uncategorized Feedback  (9-0)
    Useless  (9-2)
    Needs review  (9-1)
    Agric Questions  (9-4)
    Health Questions  (9-3)
    General Questions  (9-5)
    Endorsements  (9-6)
    Potential Future Content  (9-8)
    Nice Singing  (9-9)
    Entertaining Messages  (9-10)
